route_id,start_lat,start_lon,end_lat,end_lon,distance_km,travel_time_min,traffic_level,weather,road_type,accidents,fuel_cost,safety_index,scenic_score,user_preference,recommended,start_city,end_city,avg_speed_kmph
28,5.1053,-1.2466,5.6698,0.0166,196.91,295.36,2,Sunny,Main,1,369.96,8.28,6,Fast,1,Cape Coast,Tema,40.0
29,5.6037,-0.187,6.6885,-1.6244,259.62,890.13,3,Sunny,Local,0,719.24,6.83,2,Fast,0,Accra,Kumasi,17.5
30,5.6698,0.0166,6.6101,0.4713,145.55,124.76,1,Sunny,Highway,0,276.09,9.45,6,Safe,1,Tema,Ho,70.0
31,10.0607,-2.5099,10.7856,-0.8514,248.05,265.77,2,Stormy,Highway,0,578.01,7.05,1,Fast,0,Wa,Bolgatanga,56.0
32,6.0945,-0.2611,10.0607,-2.5099,670.98,2300.5,3,Sunny,Local,0,1823.39,7.26,7,Safe,0,Koforidua,Wa,17.5
33,6.2007,-1.6663,6.0945,-0.2611,201.4,241.68,1,Cloudy,Main,1,449.03,9.12,6,Fast,1,Obuasi,Koforidua,50.0
34,5.6698,0.0166,6.6885,-1.6244,284.02,243.45,1,Cloudy,Highway,0,522.56,9.35,10,Scenic,1,Tema,Kumasi,70.0
35,10.7856,-0.8514,10.0607,-2.5099,264.03,452.62,1,Sunny,Local,0,578.12,8.83,8,Safe,1,Bolgatanga,Wa,35.0
36,5.6037,-0.187,6.6101,0.4713,163.43,280.17,3,Cloudy,Highway,1,450.94,6.0,6,Safe,0,Accra,Ho,35.0
37,7.5855,-1.9395,10.7856,-0.8514,495.48,530.87,2,Cloudy,Highway,0,1474.08,8.39,9,Fast,1,Techiman,Bolgatanga,56.0
38,7.5855,-1.9395,5.6698,0.0166,405.05,867.96,2,Sunny,Local,0,1113.11,7.97,10,Fast,0,Techiman,Tema,28.0
39,10.0607,-2.5099,6.6885,-1.6244,490.4,1050.86,2,Stormy,Local,0,1033.25,8.12,7,Safe,0,Wa,Kumasi,28.0
40,5.6698,0.0166,10.0607,-2.5099,716.91,768.12,2,Sunny,Highway,1,1839.86,6.7,8,Safe,1,Tema,Wa,56.0
41,5.6698,0.0166,9.4075,-0.8536,535.86,803.79,2,Sunny,Main,0,1425.11,8.4,8,Safe,1,Tema,Tamale,40.0
42,4.8945,-1.7554,6.0945,-0.2611,259.81,311.77,1,Rainy,Main,0,434.01,9.24,4,Fast,1,Takoradi,Koforidua,50.0
43,5.6698,0.0166,10.0607,-2.5099,719.32,1233.12,1,Sunny,Local,0,1760.92,9.11,10,Fast,0,Tema,Wa,35.0
44,6.6101,0.4713,7.3399,-2.3268,402.23,603.34,2,Rainy,Main,0,1052.05,8.95,1,Fast,0,Ho,Sunyani,40.0
45,9.4075,-0.8536,4.8945,-1.7554,677.04,812.45,1,Cloudy,Main,0,1328.57,9.33,3,Safe,1,Tamale,Takoradi,50.0
46,10.7856,-0.8514,6.2007,-1.6663,658.85,705.91,2,Cloudy,Highway,1,1508.24,6.96,5,Scenic,0,Bolgatanga,Obuasi,56.0
47,4.8945,-1.7554,10.0607,-2.5099,779.82,668.42,1,Sunny,Highway,1,1661.49,8.48,1,Scenic,1,Takoradi,Wa,70.0
48,5.1053,-1.2466,7.5855,-1.9395,375.09,643.01,3,Cloudy,Highway,1,1078.45,5.78,5,Safe,0,Cape Coast,Techiman,35.0
49,4.8945,-1.7554,7.5855,-1.9395,370.37,317.46,1,Sunny,Highway,0,649.44,9.05,7,Scenic,1,Takoradi,Techiman,70.0
50,6.6101,0.4713,5.1053,-1.2466,319.12,273.53,1,Rainy,Highway,0,848.21,9.26,5,Safe,1,Ho,Cape Coast,70.0
51,5.1053,-1.2466,7.5855,-1.9395,369.78,396.19,2,Sunny,Highway,2,670.63,6.39,3,Fast,1,Cape Coast,Techiman,56.0
52,10.7856,-0.8514,9.4075,-0.8536,186.98,160.27,1,Sunny,Highway,0,393.3,8.91,7,Fast,1,Bolgatanga,Tamale,70.0
53,6.6101,0.4713,5.1053,-1.2466,323.14,387.77,1,Sunny,Main,0,553.17,8.93,1,Fast,1,Ho,Cape Coast,50.0
54,6.6885,-1.6244,6.0945,-0.2611,218.82,262.58,1,Sunny,Main,1,429.37,9.19,4,Scenic,1,Kumasi,Koforidua,50.0
55,9.4075,-0.8536,6.0945,-0.2611,458.75,550.5,1,Cloudy,Main,1,786.78,8.73,7,Scenic,1,Tamale,Koforidua,50.0
56,10.7856,-0.8514,6.6101,0.4713,589.98,1264.24,2,Sunny,Local,0,1438.55,7.23,7,Fast,0,Bolgatanga,Ho,28.0
57,5.6698,0.0166,6.0945,-0.2611,71.8,86.16,1,Rainy,Main,1,189.58,8.31,6,Safe,0,Tema,Koforidua,50.0
58,6.6885,-1.6244,6.0945,-0.2611,219.37,752.13,3,Cloudy,Local,1,509.27,7.59,4,Fast,0,Kumasi,Koforidua,17.5
59,10.0607,-2.5099,9.4075,-0.8536,255.23,437.54,3,Stormy,Highway,1,818.97,6.82,4,Safe,0,Wa,Tamale,35.0
60,10.7856,-0.8514,6.6885,-1.6244,596.05,1277.25,2,Cloudy,Local,1,1388.12,8.27,2,Fast,0,Bolgatanga,Kumasi,28.0
61,10.0607,-2.5099,7.5855,-1.9395,346.13,415.36,1,Rainy,Main,1,895.65,8.76,8,Scenic,0,Wa,Techiman,50.0
62,5.1053,-1.2466,6.6101,0.4713,332.04,398.45,1,Sunny,Main,0,787.21,9.39,5,Safe,0,Cape Coast,Ho,50.0
63,6.6885,-1.6244,6.6101,0.4713,301.38,361.66,1,Sunny,Main,1,565.12,8.63,9,Scenic,0,Kumasi,Ho,50.0
64,9.4075,-0.8536,7.5855,-1.9395,316.0,1083.43,3,Rainy,Local,2,853.16,5.69,5,Scenic,0,Tamale,Techiman,17.5
65,5.6698,0.0166,4.8945,-1.7554,261.14,223.83,1,Cloudy,Highway,0,660.27,8.56,3,Scenic,0,Tema,Takoradi,70.0
66,5.6698,0.0166,5.1053,-1.2466,191.53,410.42,2,Cloudy,Local,3,397.85,7.52,9,Scenic,0,Tema,Cape Coast,28.0
67,6.6101,0.4713,6.0945,-0.2611,126.22,216.38,1,Rainy,Local,0,285.76,9.45,5,Safe,0,Ho,Koforidua,35.0
68,5.6698,0.0166,10.0607,-2.5099,728.32,624.27,1,Sunny,Highway,0,1782.87,8.98,6,Scenic,1,Tema,Wa,70.0
69,6.2007,-1.6663,10.7856,-0.8514,657.64,986.46,2,Cloudy,Main,0,1308.2,8.49,10,Fast,1,Obuasi,Bolgatanga,40.0
70,7.3399,-2.3268,4.8945,-1.7554,351.28,526.92,2,Sunny,Main,0,879.79,8.45,9,Scenic,0,Sunyani,Takoradi,40.0
71,4.8945,-1.7554,6.2007,-1.6663,182.76,313.3,1,Cloudy,Local,0,427.63,9.38,3,Fast,1,Takoradi,Obuasi,35.0
72,5.6037,-0.187,4.8945,-1.7554,231.62,397.06,3,Stormy,Highway,0,490.05,6.95,9,Fast,0,Accra,Takoradi,35.0
73,9.4075,-0.8536,5.1053,-1.2466,605.89,1454.14,3,Rainy,Main,0,1612.32,7.98,4,Safe,0,Tamale,Cape Coast,25.0
74,6.6885,-1.6244,4.8945,-1.7554,247.56,594.14,3,Rainy,Main,0,630.78,7.38,4,Scenic,0,Kumasi,Takoradi,25.0
75,7.3399,-2.3268,4.8945,-1.7554,347.19,520.78,2,Sunny,Main,0,862.02,7.29,9,Safe,1,Sunyani,Takoradi,40.0
76,9.4075,-0.8536,6.0945,-0.2611,449.14,769.95,1,Sunny,Local,0,1087.43,8.82,5,Safe,1,Tamale,Koforidua,35.0
77,6.6885,-1.6244,4.8945,-1.7554,241.09,206.65,1,Sunny,Highway,1,569.25,8.46,2,Scenic,0,Kumasi,Takoradi,70.0
78,6.0945,-0.2611,5.6037,-0.187,68.58,117.57,3,Sunny,Highway,0,181.83,6.86,7,Scenic,0,Koforidua,Accra,35.0
79,6.0945,-0.2611,6.6101,0.4713,121.87,130.57,2,Sunny,Highway,0,297.32,7.1,10,Safe,0,Koforidua,Ho,56.0
80,10.0607,-2.5099,6.6101,0.4713,647.93,1110.74,3,Sunny,Highway,4,1928.76,6.1,10,Safe,0,Wa,Ho,35.0
81,9.4075,-0.8536,6.6885,-1.6244,400.98,343.7,1,Sunny,Highway,0,1039.99,8.55,7,Scenic,1,Tamale,Kumasi,70.0
82,6.0945,-0.2611,5.1053,-1.2466,205.72,352.66,1,Cloudy,Local,0,475.23,8.52,9,Scenic,0,Koforidua,Cape Coast,35.0
83,6.2007,-1.6663,10.7856,-0.8514,625.92,1073.01,3,Cloudy,Highway,2,1470.99,5.93,10,Scenic,0,Obuasi,Bolgatanga,35.0
84,6.6885,-1.6244,6.2007,-1.6663,70.94,152.01,2,Rainy,Local,0,128.06,8.23,6,Scenic,0,Kumasi,Obuasi,28.0
85,10.0607,-2.5099,4.8945,-1.7554,775.7,664.89,1,Sunny,Highway,2,1786.73,8.09,2,Fast,1,Wa,Takoradi,70.0
86,5.6698,0.0166,7.3399,-2.3268,411.91,617.86,2,Rainy,Main,0,1192.11,7.06,6,Fast,0,Tema,Sunyani,40.0
87,6.6885,-1.6244,9.4075,-0.8536,416.87,446.65,2,Sunny,Highway,0,968.82,8.82,4,Fast,1,Kumasi,Tamale,56.0
88,10.0607,-2.5099,4.8945,-1.7554,746.49,1279.7,1,Sunny,Local,0,1714.05,9.28,4,Scenic,1,Wa,Takoradi,35.0
89,9.4075,-0.8536,6.6885,-1.6244,413.45,354.39,1,Sunny,Highway,0,1083.12,8.83,3,Fast,0,Tamale,Kumasi,70.0
90,7.3399,-2.3268,6.2007,-1.6663,176.87,212.24,1,Rainy,Main,0,402.87,8.76,10,Scenic,0,Sunyani,Obuasi,50.0
91,6.6101,0.4713,10.7856,-0.8514,595.95,1430.28,3,Sunny,Main,0,1511.17,5.93,8,Fast,0,Ho,Bolgatanga,25.0
92,5.6698,0.0166,7.5855,-1.9395,368.17,315.57,1,Sunny,Highway,0,727.65,8.72,8,Fast,1,Tema,Techiman,70.0
93,10.7856,-0.8514,5.1053,-1.2466,846.32,1015.58,1,Cloudy,Main,0,1480.2,9.39,9,Safe,1,Bolgatanga,Cape Coast,50.0
94,7.3399,-2.3268,10.7856,-0.8514,534.68,458.3,1,Stormy,Highway,0,1094.86,9.41,10,Safe,1,Sunyani,Bolgatanga,70.0
95,5.1053,-1.2466,7.3399,-2.3268,344.94,517.41,2,Sunny,Main,2,982.2,6.85,4,Safe,0,Cape Coast,Sunyani,40.0
96,6.2007,-1.6663,4.8945,-1.7554,186.32,223.58,1,Cloudy,Main,0,323.18,9.1,1,Fast,1,Obuasi,Takoradi,50.0
97,6.6885,-1.6244,9.4075,-0.8536,377.26,452.71,1,Sunny,Main,0,685.36,9.22,1,Fast,0,Kumasi,Tamale,50.0
98,5.1053,-1.2466,5.6698,0.0166,199.87,685.27,3,Cloudy,Local,1,401.14,7.02,10,Fast,0,Cape Coast,Tema,17.5
99,7.3399,-2.3268,6.0945,-0.2611,330.75,354.38,2,Cloudy,Highway,0,788.86,8.55,9,Safe,0,Sunyani,Koforidua,56.0
100,10.0607,-2.5099,7.5855,-1.9395,349.17,299.29,1,Rainy,Highway,1,829.13,8.44,3,Safe,1,Wa,Techiman,70.0
101,10.7856,-0.8514,10.0607,-2.5099,245.44,262.97,2,Rainy,Highway,1,714.36,7.3,4,Scenic,1,Bolgatanga,Wa,56.0
102,5.6698,0.0166,6.2007,-1.6663,243.4,834.51,3,Sunny,Local,0,770.11,6.3,9,Scenic,0,Tema,Obuasi,17.5
103,5.6698,0.0166,5.1053,-1.2466,199.21,298.82,2,Cloudy,Main,0,593.99,8.18,4,Fast,1,Tema,Cape Coast,40.0
104,5.6698,0.0166,10.0607,-2.5099,726.83,778.75,2,Sunny,Highway,1,2157.6,6.95,9,Safe,1,Tema,Wa,56.0
105,6.2007,-1.6663,10.0607,-2.5099,566.14,1941.05,3,Sunny,Local,1,1620.4,7.3,2,Fast,0,Obuasi,Wa,17.5
106,10.7856,-0.8514,4.8945,-1.7554,825.27,884.22,2,Rainy,Highway,0,2037.35,7.83,1,Safe,1,Bolgatanga,Takoradi,56.0
107,6.2007,-1.6663,5.1053,-1.2466,171.08,256.62,2,Sunny,Main,1,440.43,7.57,3,Safe,1,Obuasi,Cape Coast,40.0
108,6.2007,-1.6663,5.1053,-1.2466,175.64,150.55,1,Cloudy,Highway,0,297.64,8.73,7,Safe,1,Obuasi,Cape Coast,70.0
109,5.6037,-0.187,10.7856,-0.8514,751.72,1127.58,2,Sunny,Main,1,1700.84,7.36,8,Fast,1,Accra,Bolgatanga,40.0
110,10.7856,-0.8514,9.4075,-0.8536,196.17,235.4,1,Stormy,Main,0,409.58,9.44,8,Scenic,1,Bolgatanga,Tamale,50.0
111,6.6101,0.4713,7.3399,-2.3268,391.52,587.28,2,Sunny,Main,1,959.81,7.94,6,Scenic,1,Ho,Sunyani,40.0
112,10.7856,-0.8514,9.4075,-0.8536,185.7,278.55,2,Rainy,Main,0,409.86,8.26,1,Safe,0,Bolgatanga,Tamale,40.0
113,7.3399,-2.3268,10.0607,-2.5099,374.11,561.16,2,Rainy,Main,0,816.15,7.91,1,Scenic,0,Sunyani,Wa,40.0
114,5.6037,-0.187,6.6885,-1.6244,253.96,380.94,2,Cloudy,Main,0,747.48,7.25,4,Fast,0,Accra,Kumasi,40.0
115,5.6698,0.0166,4.8945,-1.7554,266.35,399.52,2,Rainy,Main,3,562.96,7.65,4,Safe,0,Tema,Takoradi,40.0
116,7.3399,-2.3268,6.2007,-1.6663,196.99,168.85,1,Sunny,Highway,0,418.94,8.88,3,Safe,0,Sunyani,Obuasi,70.0
117,7.3399,-2.3268,9.4075,-0.8536,363.58,623.28,3,Cloudy,Highway,1,852.42,7.28,8,Scenic,0,Sunyani,Tamale,35.0
118,7.5855,-1.9395,7.3399,-2.3268,63.39,67.92,2,Cloudy,Highway,0,144.92,8.04,8,Scenic,0,Techiman,Sunyani,56.0
119,4.8945,-1.7554,10.7856,-0.8514,868.37,1042.04,1,Sunny,Main,0,1719.24,8.68,3,Scenic,1,Takoradi,Bolgatanga,50.0
120,5.6037,-0.187,5.6698,0.0166,29.22,35.06,1,Rainy,Main,0,72.39,9.36,6,Fast,0,Accra,Tema,50.0
121,7.3399,-2.3268,5.6698,0.0166,425.83,912.49,2,Rainy,Local,0,1091.62,8.47,6,Fast,0,Sunyani,Tema,28.0
122,4.8945,-1.7554,6.0945,-0.2611,270.54,463.78,1,Rainy,Local,1,684.18,8.87,6,Safe,1,Takoradi,Koforidua,35.0
123,4.8945,-1.7554,7.3399,-2.3268,356.43,534.64,2,Sunny,Main,0,836.44,7.92,4,Fast,0,Takoradi,Sunyani,40.0
124,5.6037,-0.187,5.6698,0.0166,29.24,43.86,2,Cloudy,Main,0,85.23,7.2,3,Safe,0,Accra,Tema,40.0
125,7.5855,-1.9395,10.0607,-2.5099,339.44,290.95,1,Cloudy,Highway,0,628.7,8.85,4,Safe,1,Techiman,Wa,70.0
126,5.1053,-1.2466,6.0945,-0.2611,208.9,179.06,1,Stormy,Highway,0,510.6,8.83,3,Safe,0,Cape Coast,Koforidua,70.0
127,10.0607,-2.5099,5.1053,-1.2466,745.98,799.26,2,Rainy,Highway,1,1774.48,7.39,2,Safe,0,Wa,Cape Coast,56.0
128,6.6101,0.4713,7.3399,-2.3268,420.81,1009.94,3,Sunny,Main,0,884.23,6.35,3,Scenic,0,Ho,Sunyani,25.0
129,10.0607,-2.5099,9.4075,-0.8536,244.3,418.8,3,Rainy,Highway,1,655.67,7.16,10,Safe,0,Wa,Tamale,35.0
130,10.7856,-0.8514,6.2007,-1.6663,667.52,1144.32,3,Sunny,Highway,1,2158.8,7.03,9,Safe,0,Bolgatanga,Obuasi,35.0
131,5.6698,0.0166,4.8945,-1.7554,269.52,404.28,2,Sunny,Main,1,725.5,8.25,2,Scenic,0,Tema,Takoradi,40.0
132,6.6101,0.4713,10.0607,-2.5099,606.85,728.22,1,Rainy,Main,0,1029.7,8.65,1,Fast,1,Ho,Wa,50.0
133,10.7856,-0.8514,6.6885,-1.6244,611.58,917.37,2,Cloudy,Main,3,1673.11,6.5,2,Fast,0,Bolgatanga,Kumasi,40.0
134,7.3399,-2.3268,6.2007,-1.6663,175.57,300.98,3,Rainy,Highway,0,353.85,8.1,2,Scenic,0,Sunyani,Obuasi,35.0
135,5.6698,0.0166,6.2007,-1.6663,250.11,267.98,2,Cloudy,Highway,0,601.59,7.7,8,Fast,0,Tema,Obuasi,56.0
136,6.6885,-1.6244,7.3399,-2.3268,135.6,162.72,1,Rainy,Main,0,234.61,9.38,3,Fast,0,Kumasi,Sunyani,50.0
137,5.6037,-0.187,5.6698,0.0166,29.7,25.46,1,Sunny,Highway,0,60.66,9.35,7,Fast,1,Accra,Tema,70.0
138,6.6101,0.4713,5.6698,0.0166,139.5,167.4,1,Sunny,Main,1,352.87,8.4,4,Fast,1,Ho,Tema,50.0
139,6.6101,0.4713,5.1053,-1.2466,327.72,491.58,2,Sunny,Main,0,885.23,7.46,7,Safe,1,Ho,Cape Coast,40.0
140,7.3399,-2.3268,5.6698,0.0166,416.12,998.69,3,Cloudy,Main,1,1003.07,5.55,7,Fast,0,Sunyani,Tema,25.0
141,5.1053,-1.2466,6.0945,-0.2611,186.1,199.39,2,Sunny,Highway,1,401.34,7.1,8,Fast,0,Cape Coast,Koforidua,56.0
142,4.8945,-1.7554,6.2007,-1.6663,181.79,155.82,1,Cloudy,Highway,0,416.49,9.02,3,Fast,1,Takoradi,Obuasi,70.0
143,5.6698,0.0166,10.7856,-0.8514,738.44,2531.79,3,Rainy,Local,1,2254.42,5.19,7,Safe,0,Tema,Bolgatanga,17.5
144,7.3399,-2.3268,6.2007,-1.6663,196.76,295.14,2,Sunny,Main,0,424.77,8.29,4,Scenic,1,Sunyani,Obuasi,40.0
145,6.0945,-0.2611,4.8945,-1.7554,272.6,233.66,1,Rainy,Highway,0,497.4,8.82,8,Fast,0,Koforidua,Takoradi,70.0
146,7.5855,-1.9395,9.4075,-0.8536,311.41,467.12,2,Sunny,Main,1,898.43,7.02,6,Safe,1,Techiman,Tamale,40.0
147,4.8945,-1.7554,5.6698,0.0166,271.27,325.52,1,Sunny,Main,0,559.54,9.09,8,Scenic,1,Takoradi,Tema,50.0
148,5.6037,-0.187,6.6885,-1.6244,240.35,412.03,1,Rainy,Local,0,573.57,8.57,10,Scenic,1,Accra,Kumasi,35.0
149,4.8945,-1.7554,6.0945,-0.2611,265.37,284.33,2,Cloudy,Highway,0,557.66,7.82,1,Safe,0,Takoradi,Koforidua,56.0
150,5.1053,-1.2466,6.2007,-1.6663,164.92,247.38,2,Stormy,Main,1,334.29,7.29,6,Fast,0,Cape Coast,Obuasi,40.0
151,4.8945,-1.7554,10.7856,-0.8514,845.39,1014.47,1,Cloudy,Main,0,2004.81,8.89,4,Safe,1,Takoradi,Bolgatanga,50.0
152,5.6037,-0.187,5.6698,0.0166,29.36,35.23,1,Cloudy,Main,0,60.54,9.43,5,Safe,1,Accra,Tema,50.0
153,5.1053,-1.2466,6.6885,-1.6244,229.02,343.53,2,Sunny,Main,0,456.93,8.63,6,Fast,0,Cape Coast,Kumasi,40.0
154,10.0607,-2.5099,5.1053,-1.2466,715.3,858.36,1,Cloudy,Main,1,1267.47,9.09,6,Fast,1,Wa,Cape Coast,50.0
155,6.6101,0.4713,10.0607,-2.5099,617.13,1322.42,2,Sunny,Local,1,1289.2,8.56,2,Fast,0,Ho,Wa,28.0
156,6.6101,0.4713,5.6037,-0.187,174.56,149.62,1,Sunny,Highway,0,346.28,8.62,9,Scenic,1,Ho,Accra,70.0
157,7.5855,-1.9395,6.2007,-1.6663,196.09,235.31,1,Cloudy,Main,0,424.02,8.89,7,Scenic,1,Techiman,Obuasi,50.0
158,10.7856,-0.8514,5.6698,0.0166,719.37,770.75,2,Sunny,Highway,1,2024.57,8.69,4,Fast,1,Bolgatanga,Tema,56.0
159,10.0607,-2.5099,6.2007,-1.6663,532.0,570.0,2,Rainy,Highway,0,1354.54,8.8,10,Scenic,0,Wa,Obuasi,56.0
160,10.0607,-2.5099,9.4075,-0.8536,261.7,628.08,3,Sunny,Main,2,545.61,5.95,7,Fast,0,Wa,Tamale,25.0
161,5.6698,0.0166,7.3399,-2.3268,414.25,443.84,2,Sunny,Highway,0,1138.4,8.24,1,Safe,0,Tema,Sunyani,56.0
162,6.2007,-1.6663,4.8945,-1.7554,190.91,286.36,2,Rainy,Main,0,346.76,7.71,2,Scenic,0,Obuasi,Takoradi,40.0
163,4.8945,-1.7554,9.4075,-0.8536,667.68,1602.43,3,Rainy,Main,1,1563.31,5.63,8,Scenic,0,Takoradi,Tamale,25.0
164,6.6101,0.4713,6.6885,-1.6244,283.48,303.73,2,Sunny,Highway,0,690.2,7.38,5,Scenic,0,Ho,Kumasi,56.0
165,5.6037,-0.187,10.7856,-0.8514,708.24,758.83,2,Sunny,Highway,1,1897.48,8.42,3,Scenic,0,Accra,Bolgatanga,56.0
166,9.4075,-0.8536,5.1053,-1.2466,644.54,1381.16,2,Cloudy,Local,3,1245.91,7.11,10,Safe,1,Tamale,Cape Coast,28.0
167,6.2007,-1.6663,4.8945,-1.7554,175.04,300.07,3,Sunny,Highway,1,368.57,7.86,8,Fast,0,Obuasi,Takoradi,35.0
168,9.4075,-0.8536,7.5855,-1.9395,313.4,376.08,1,Rainy,Main,0,844.19,8.59,6,Fast,0,Tamale,Techiman,50.0
169,5.1053,-1.2466,7.5855,-1.9395,382.86,328.17,1,Stormy,Highway,0,975.88,9.05,7,Safe,1,Cape Coast,Techiman,70.0
170,6.6101,0.4713,10.0607,-2.5099,647.61,693.87,2,Sunny,Highway,2,1254.26,8.04,4,Fast,0,Ho,Wa,56.0
171,6.6101,0.4713,5.6698,0.0166,145.71,349.7,3,Rainy,Main,2,404.21,5.79,3,Fast,0,Ho,Tema,25.0
172,6.2007,-1.6663,6.6101,0.4713,310.09,372.11,1,Sunny,Main,0,834.52,8.51,10,Safe,1,Obuasi,Ho,50.0
173,7.5855,-1.9395,5.6698,0.0166,388.79,666.5,3,Sunny,Highway,3,1140.86,7.4,4,Safe,0,Techiman,Tema,35.0
174,6.2007,-1.6663,5.6037,-0.187,237.74,356.61,2,Rainy,Main,1,481.37,8.41,10,Safe,0,Obuasi,Accra,40.0
175,9.4075,-0.8536,10.7856,-0.8514,191.95,205.66,2,Cloudy,Highway,1,564.5,8.11,2,Fast,0,Tamale,Bolgatanga,56.0
176,6.2007,-1.6663,6.6101,0.4713,310.13,465.2,2,Sunny,Main,1,923.84,7.2,5,Fast,0,Obuasi,Ho,40.0
177,6.6101,0.4713,6.2007,-1.6663,307.59,461.38,2,Sunny,Main,0,789.07,8.88,6,Scenic,0,Ho,Obuasi,40.0
178,7.5855,-1.9395,5.6037,-0.187,359.48,308.13,1,Cloudy,Highway,0,887.36,8.77,4,Fast,0,Techiman,Accra,70.0
179,4.8945,-1.7554,9.4075,-0.8536,681.04,1167.5,3,Cloudy,Highway,2,1581.48,8.03,7,Safe,0,Takoradi,Tamale,35.0
180,6.0945,-0.2611,6.6101,0.4713,122.11,146.53,1,Stormy,Main,1,300.71,9.01,6,Scenic,0,Koforidua,Ho,50.0
181,5.6698,0.0166,9.4075,-0.8536,550.56,471.91,1,Sunny,Highway,0,1096.69,8.61,7,Fast,1,Tema,Tamale,70.0
182,6.6885,-1.6244,6.6101,0.4713,290.31,311.05,2,Sunny,Highway,2,538.98,7.65,6,Fast,1,Kumasi,Ho,56.0
